SPOTUK1L	SPOTFR1L	SPOTYEN1L	SPOTUK3L	SPOTFR3L	SPOTYEN3L	FOR1UKL	FOR1FRL	FOR1YENL	FOR3UKL	FOR3FRL	FOR3YENL
0.70547	-1.50193	-5.71171	0.60922	-1.53991	-5.70059	0.70329	-1.50237	-5.71656	0.69516	-1.50728	-5.71687
0.6254	-1.54318	-5.70149	0.56475	-1.55259	-5.70388	0.70231	-1.50641	-5.71202	0.69615	-1.51487	-5.71232
0.60922	-1.53991	-5.70059	0.58294	-1.55685	-5.69433	0.62047	-1.55017	-5.70268	0.6129	-1.5608	-5.70268
0.56475	-1.55259	-5.70388	0.57914	-1.59307	-5.68134	0.60486	-1.54364	-5.70059	0.59548	-1.55196	-5.70059
0.58294	-1.55685	-5.69433	0.57239	-1.59603	-5.66245	0.55967	-1.55541	-5.70538	0.55009	-1.56199	-5.70598
0.57914	-1.59307	-5.68134	0.50712	-1.60048	-5.65986	0.57594	-1.55969	-5.69492	0.56343	-1.5658	-5.69522
0.57239	-1.59603	-5.66245	0.46687	-1.60994	-5.68427	0.5729	-1.59749	-5.68222	0.56082	-1.60771	-5.68339
0.50712	-1.60048	-5.65986	0.50772	-1.60944	-5.69641	0.56503	-1.60046	-5.66331	0.55129	-1.60877	-5.66389
0.46687	-1.60994	-5.68427	0.53092	-1.60246	-5.67958	0.51838	-1.60641	-5.66101	0.47779	-1.61719	-5.66302
0.50772	-1.60944	-5.69641	0.53842	-1.60594	-5.6688	0.48037	-1.61692	-5.68457	0.42821	-1.62876	-5.68663
0.53092	-1.60246	-5.67958	0.53532	-1.60644	-5.64222	0.51701	-1.61542	-5.6982	0.48045	-1.62679	-5.69879
0.53842	-1.60594	-5.6688	0.54192	-1.60395	-5.62101	0.5411	-1.60939	-5.68104	0.5044	-1.62116	-5.68339
0.53532	-1.60644	-5.64222	0.54174	-1.59998	-5.62654	0.54841	-1.61141	-5.66967	0.51962	-1.62226	-5.67112
0.54192	-1.60395	-5.62101	0.54099	-1.59899	-5.62156	0.52863	-1.61141	-5.64306	0.51563	-1.62177	-5.64561
0.54174	-1.59998	-5.62654	0.54203	-1.59307	-5.58733	0.53807	-1.60842	-5.62266	0.53111	-1.6163	-5.62516
0.54099	-1.59899	-5.62156	0.55187	-1.58817	-5.58653	0.53883	-1.60443	-5.62682	0.53258	-1.61228	-5.62766
0.54203	-1.59307	-5.58733	0.55475	-1.59258	-5.59108	0.53579	-1.60294	-5.62156	0.52886	-1.6108	-5.62128
0.55187	-1.58817	-5.58653	0.55819	-1.5867	-5.57354	0.53935	-1.59602	-5.58733	0.53309	-1.60287	-5.58787
0.55475	-1.59258	-5.59108	0.57515	-1.57891	-5.52271	0.55049	-1.59548	-5.58653	0.54638	-1.60323	-5.58653
0.55819	-1.5867	-5.57354	0.60103	-1.57697	-5.49069	0.554	-1.59651	-5.59028	0.55199	-1.60382	-5.5884
0.57515	-1.57891	-5.52271	0.65128	-1.54834	-5.47864	0.55893	-1.58866	-5.57091	0.55951	-1.59206	-5.56698
0.60103	-1.57697	-5.49069	0.66269	-1.58817	-5.48851	0.57695	-1.5823	-5.52021	0.57999	-1.58712	-5.51598
0.65128	-1.54834	-5.47864	0.66238	-1.55922	-5.46839	0.60142	-1.58372	-5.48754	0.60033	-1.59471	-5.48224
0.66269	-1.58817	-5.48851	0.62219	-1.51186	-5.39924	0.65154	-1.55351	-5.47386	0.65268	-1.56375	-5.46626
0.66238	-1.55922	-5.46839	0.60076	-1.53155	-5.4171	0.66279	-1.59936	-5.48585	0.66279	-1.61139	-5.4808
0.62219	-1.51186	-5.39924	0.60048	-1.52372	-5.39902	0.66238	-1.56585	-5.46461	0.66108	-1.57524	-5.45684
0.60076	-1.53155	-5.4171	0.62111	-1.50598	-5.31648	0.62224	-1.51321	-5.39395	0.62171	-1.51592	-5.38431
0.60048	-1.52372	-5.39902	0.65596	-1.47666	-5.24896	0.59795	-1.5334	-5.41238	0.59404	-1.53708	-5.40323
0.62111	-1.50598	-5.31648	0.66732	-1.47055	-5.25277	0.59801	-1.52509	-5.39527	0.59316	-1.52783	-5.38671
0.65596	-1.47666	-5.24896	0.67981	-1.46534	-5.24118	0.61843	-1.50824	-5.31181	0.61374	-1.51047	-5.30273
0.66732	-1.47055	-5.25277	0.68587	-1.4593	-5.24137	0.65389	-1.47709	-5.24269	0.64962	-1.47885	-5.23365
0.67981	-1.46534	-5.24118	0.65985	-1.49343	-5.30837	0.66516	-1.47098	-5.24762	0.66115	-1.47098	-5.23741
0.68587	-1.4593	-5.24137	0.71148	-1.43339	-5.26818	0.67686	-1.4675	-5.23572	0.67084	-1.46836	-5.2247
0.65985	-1.49343	-5.30837	0.68284	-1.46664	-5.30554	0.68421	-1.45758	-5.23384	0.68078	-1.45584	-5.21821
0.71148	-1.43339	-5.26818	0.70384	-1.455	-5.32528	0.6583	-1.49076	-5.30032	0.65436	-1.48719	-5.28422
0.68284	-1.46664	-5.30554	0.72513	-1.45801	-5.34562	0.7105	-1.43339	-5.25852	0.70923	-1.4296	-5.23967
0.70384	-1.455	-5.32528	0.71955	-1.47294	-5.39307	0.68012	-1.46447	-5.29832	0.67438	-1.46054	-5.29075
0.72513	-1.45801	-5.34562	0.72827	-1.48944	-5.39946	0.702	-1.45243	-5.31893	0.69913	-1.44856	-5.30756
0.71955	-1.47294	-5.39307	0.77978	-1.45158	-5.38213	0.72344	-1.45564	-5.34227	0.72177	-1.45133	-5.33519
0.72827	-1.48944	-5.39946	0.81934	-1.4486	-5.37931	0.71843	-1.47163	-5.38802	0.71564	-1.4677	-5.37953
0.77978	-1.45158	-5.38213	0.81226	-1.44966	-5.39549	0.72697	-1.49032	-5.39549	0.72494	-1.49298	-5.38693
0.81934	-1.4486	-5.37931	0.78914	-1.4112	-5.41395	0.77678	-1.4517	-5.37714	0.77127	-1.45288	-5.37024
0.81226	-1.44966	-5.39549	0.72634	-1.43276	-5.45778	0.81695	-1.45072	-5.37455	0.81151	-1.45114	-5.36681
0.78914	-1.4112	-5.41395	0.78891	-1.40283	-5.51971	0.81022	-1.44978	-5.39175	0.80738	-1.45071	-5.38366
0.72634	-1.43276	-5.45778	0.80379	-1.39131	-5.48176	0.78832	-1.41161	-5.40903	0.78586	-1.41305	-5.39969
0.78891	-1.40283	-5.51971	0.8222	-1.40691	-5.48248	0.72755	-1.43129	-5.44937	0.72804	-1.43066	-5.43781
0.80379	-1.39131	-5.48176	0.82176	-1.42545	-5.52547	0.78687	-1.40181	-5.51473	0.78277	-1.40223	-5.50682
0.8222	-1.40691	-5.48248	0.77473	-1.49121	-5.51946	0.80173	-1.39111	-5.47673	0.79873	-1.39031	-5.46721
0.82176	-1.42545	-5.52547	0.81359	-1.44753	-5.48152	0.81889	-1.40568	-5.47768	0.81404	-1.40322	-5.46792
0.77473	-1.49121	-5.51946	0.85015	-1.42089	-5.40724	0.81978	-1.42275	-5.51996	0.8178	-1.41878	-5.51003
0.81359	-1.44753	-5.48152	0.85378	-1.41059	-5.38366	0.77519	-1.48609	-5.51697	0.77725	-1.47825	-5.51151
0.85015	-1.42089	-5.40724	0.84673	-1.4242	-5.42592	0.81005	-1.44668	-5.48008	0.80692	-1.4454	-5.47912
0.85378	-1.41059	-5.38366	0.87359	-1.42691	-5.39153	0.84458	-1.42212	-5.40992	0.83395	-1.42707	-5.41418
0.84673	-1.4242	-5.42592	0.87087	-1.43506	-5.33519	0.84694	-1.41325	-5.38693	0.83762	-1.41811	-5.39087
0.87359	-1.42691	-5.39153	0.89015	-1.47819	-5.35383	0.84092	-1.42544	-5.42797	0.83182	-1.42752	-5.43116
0.87087	-1.43506	-5.33519	0.85803	-1.49745	-5.37844	0.86878	-1.42732	-5.39219	0.86268	-1.42691	-5.39109
0.89015	-1.47819	-5.35383	0.87046	-1.52061	-5.30918	0.86891	-1.43338	-5.3327	0.86621	-1.43191	-5.32857
0.85803	-1.49745	-5.37844	0.86521	-1.58371	-5.32775	0.88851	-1.47446	-5.34982	0.88599	-1.46784	-5.34081
0.87046	-1.52061	-5.30918	0.788	-1.61343	-5.34751	0.86264	-1.48992	-5.37067	0.86706	-1.48206	-5.35998
0.86521	-1.58371	-5.32775	0.79027	-1.61064	-5.36638	0.87588	-1.51209	-5.29792	0.88046	-1.50425	-5.2858
0.788	-1.61343	-5.34751	0.7601	-1.66108	-5.37693	0.86794	-1.57808	-5.32056	0.87484	-1.56773	-5.30534
0.79027	-1.61064	-5.36638	0.72755	-1.69562	-5.41149	0.79055	-1.61023	-5.34143	0.79751	-1.60689	-5.32775
0.7601	-1.66108	-5.37693	0.63843	-1.74746	-5.43071	0.79209	-1.61004	-5.36019	0.79616	-1.61224	-5.34856
0.72755	-1.69562	-5.41149	0.62219	-1.76165	-5.47697	0.76444	-1.65755	-5.36724	0.77265	-1.6531	-5.35151
0.63843	-1.74746	-5.43071	0.61275	-1.77411	-5.43735	0.73227	-1.70098	-5.40257	0.74777	-1.70363	-5.38606
0.62219	-1.76165	-5.47697	0.60623	-1.7011	-5.4415	0.64501	-1.75006	-5.41958	0.65206	-1.75436	-5.40323
0.61275	-1.77411	-5.43735	0.61573	-1.73254	-5.451	0.62594	-1.76506	-5.46697	0.63286	-1.77053	-5.44705
0.60623	-1.7011	-5.4415	0.67192	-1.72419	-5.37261	0.61627	-1.78659	-5.4282	0.6247	-1.80019	-5.40858
0.61573	-1.73254	-5.451	0.64579	-1.74178	-5.39131	0.60683	-1.71539	-5.43345	0.6089	-1.72333	-5.41553
0.67192	-1.72419	-5.37261	0.63488	-1.76985	-5.42934	0.61508	-1.73333	-5.44381	0.61513	-1.73648	-5.42888
0.64579	-1.74178	-5.39131	0.59801	-1.80418	-5.46674	0.66885	-1.72844	-5.36874	0.66525	-1.73575	-5.36126
0.63488	-1.76985	-5.42934	0.58222	-1.83138	-5.50707	0.64453	-1.74318	-5.38453	0.64234	-1.74871	-5.3711
0.59801	-1.80418	-5.46674	0.58612	-1.80583	-5.46178	0.63467	-1.77053	-5.42275	0.63526	-1.77205	-5.4088
0.58222	-1.83138	-5.50707	0.58361	-1.81156	-5.49385	0.59884	-1.80427	-5.45919	0.60148	-1.80583	-5.4445
0.58612	-1.80583	-5.46178	0.5513	-1.92221	-5.5432	0.58417	-1.84085	-5.49994	0.58723	-1.85383	-5.48609
0.58361	-1.81156	-5.49385	0.55302	-1.92132	-5.54524	0.58784	-1.81032	-5.45427	0.58996	-1.82227	-5.44196
0.5513	-1.92221	-5.5432	0.55216	-1.93586	-5.54601	0.58478	-1.8232	-5.4873	0.58706	-1.84003	-5.47482
0.55302	-1.92132	-5.54524	0.52845	-1.96474	-5.59349	0.55377	-1.92191	-5.53556	0.55916	-1.92366	-5.52096
0.55216	-1.93586	-5.54601	0.51641	-1.98004	-5.62571	0.55366	-1.92366	-5.54039	0.55696	-1.92884	-5.52949
0.52845	-1.96474	-5.59349	0.49531	-1.93224	-5.51027	0.5525	-1.94051	-5.54243	0.55428	-1.95784	-5.53531
0.51641	-1.98004	-5.62571	0.47903	-1.90658	-5.45825	0.5291	-1.96822	-5.58974	0.53132	-1.97913	-5.58254
0.49531	-1.93224	-5.51027	0.43068	-1.93188	-5.46674	0.51653	-1.98822	-5.62294	0.51818	-2.00463	-5.61797
0.47903	-1.90658	-5.45825	0.42265	-1.92366	-5.45966	0.4947	-1.93941	-5.5083	0.49488	-1.95396	-5.50411
0.43068	-1.93188	-5.46674	0.39407	-1.98479	-5.47625	0.47822	-1.91826	-5.45544	0.47667	-1.94178	-5.45193
0.42265	-1.92366	-5.45966	0.44552	-1.99776	-5.46982	0.42899	-1.93655	-5.46437	0.42557	-1.95596	-5.45966
0.39407	-1.98479	-5.47625	0.4452	-2.03353	-5.47529	0.42077	-1.93443	-5.45755	0.41711	-1.95599	-5.45357
0.44552	-1.99776	-5.46982	0.42833	-2.03012	-5.47482	0.39313	-1.98725	-5.47362	0.39176	-1.99258	-5.46792
0.4452	-2.03353	-5.47529	0.41924	-2.07418	-5.48851	0.44449	-2.00066	-5.46721	0.44269	-2.00778	-5.46248
