M1REALL	INF	GDPQL	COMADJ	TBADJ
6.38022	6.81784	7.9584	8.16395	6.74961
6.38707	2.56514	7.97074	7.83399	6.37199
6.39382	4.41499	7.96322	6.29089	5.35589
6.39188	7.39992	7.98613	4.58772	3.86105
6.39724	6.23667	7.98759	5.0375	4.2035
6.40211	4.90549	7.99372	5.74074	5.04774
6.40396	2.9647	7.99877	5.06076	4.23176
6.40952	5.54532	8.01872	4.05417	3.43284
6.41585	3.90054	8.03583	4.57277	3.74443
6.42725	3.71826	8.04745	4.92942	4.23742
6.43574	6.33205	8.06322	5.32951	4.84751
6.4423	5.18784	8.08743	6.27878	5.63512
6.43585	7.37105	8.09181	7.46096	6.60262
6.42866	7.50451	8.0908	9.86731	8.38231
6.41755	9.38114	8.09837	8.97389	7.45555
6.41805	6.38785	8.0893	8.29694	7.59394
6.40656	8.29834	8.09181	10.44978	8.26111
6.38588	11.89142	8.08305	11.52648	8.27948
6.37389	9.65359	8.07912	9.04277	7.32877
6.35107	11.41056	8.05643	6.55457	5.86457
6.35235	5.45725	8.0679	5.90861	5.38928
6.35028	8.35064	8.08638	6.65403	6.32403
6.3414	6.72691	8.0994	6.10575	5.67009
6.34186	5.17185	8.11871	5.27254	4.93587
6.34522	5.11806	8.12243	5.54601	5.14467
6.34027	6.20178	8.12593	5.49835	5.13701
6.34204	6.86144	8.13631	4.95048	4.65881
6.35191	5.4079	8.15087	4.76355	4.57755
6.34905	8.15039	8.16764	5.18505	4.77705
6.3484	6.97459	8.18155	5.7512	5.41653
6.35187	7.05005	8.17954	6.53244	6.07611
6.35751	5.64386	8.18641	6.73101	6.34234
6.35359	10.37058	8.21798	7.12873	6.40973
6.35399	7.76279	8.22566	8.00922	7.24122
6.34947	8.68325	8.23737	9.81393	8.5976
6.34211	7.82075	8.23769	9.95642	9.21742
6.3454	8.54936	8.23862	9.66718	9.18618
6.34789	8.80865	8.24473	10.39219	9.42019
6.33667	7.95744	8.24659	12.87525	11.58225
6.33017	9.21414	8.25083	14.02251	13.22785
6.29801	9.45054	8.22486	10.49692	9.79625
6.3121	9.08665	8.2251	9.36294	8.9516
6.3129	10.47953	8.24499	14.18852	13.38486
6.29608	11.25148	8.25855	13.97272	13.82172
6.30251	6.98579	8.25437	14.53145	14.01045
6.28413	9.32349	8.25959	15.3394	14.2134
6.27527	8.56957	8.24357	12.01668	11.09935
6.28649	4.53466	8.23114	12.70618	11.90452
6.28298	5.24026	8.23512	12.4278	11.30347
6.28501	4.05725	8.23068	10.48583	8.63783
6.3167	3.33362	8.23207	7.67607	6.80107
6.33223	4.88249	8.2384	7.13677	6.8781
6.35553	2.81231	8.26526	7.2217	7.03403
6.36899	3.91815	8.28005	7.98537	7.73203
6.37587	4.2135	8.29707	7.6993	7.30263
6.37786	5.62078	8.31618	7.92857	7.6119
6.38431	4.15854	8.32942	9.19063	8.26063
6.38248	4.5626	8.33481	9.55613	8.7528
6.38653	2.63702	8.34146	7.67487	7.39153
6.40052	4.63994	8.34802	7.09973	6.59307
6.41849	2.6809	8.3558	6.29067	5.904
6.44656	2.80385	8.36846	6.13383	5.51383
6.46458	3.92399	8.37413	6.0757	5.52237
6.48099	1.9726	8.3872	5.76657	5.2399
6.51525	1.79879	8.38656	4.8795	4.46617
6.54905	3.1999	8.39222	4.22687	3.86687
6.58409	2.99065	8.3955	4.06077	3.6741
6.60689	3.59779	8.4029	4.25257	3.8359
6.6172	2.85257	8.41523	5.09203	3.9787
6.61121	3.05515	8.42492	5.27267	4.27933
6.61242	3.69791	8.43934	5.7657	4.22903
6.61162	3.31558	8.44576	4.9356	3.98227
6.61892	4.49419	8.45634	5.44223	4.4189
6.61985	4.83479	8.46263	6.35093	5.18093
6.61293	3.98989	8.47213	6.76167	5.87833
6.59875	5.1121	8.48003	7.60197	6.68863
6.57727	4.3547	8.48446	7.4354	6.5854
6.57275	3.76083	8.48446	6.58877	6.04877
6.57661	3.50211	8.48811	6.24627	5.82293
6.57445	5.25743	8.49664	6.2624	5.9424
6.57455	4.2118	8.50047	6.35273	5.92607
6.57584	3.94827	8.49832	6.03297	5.69297
6.5732	4.22561	8.49027	5.91453	5.25787
6.5742	4.84639	8.48508	4.85877	4.31543
6.58703	2.73977	8.49042	4.33327	3.86993
6.59944	2.78292	8.49288	4.1684	3.74507
6.61735	2.4668	8.49306	3.39247	3.05913
6.64878	3.77753	8.50076	2.95433	2.67433
6.66877	2.67041	8.50664	2.88027	2.5736
6.69251	1.3526	8.51529	2.44	2.16
6.72476	2.64672	8.52926	2.69	2.2
6.73738	3.14269	8.53214	2.43667	2.14333
6.75937	1.71907	8.53805	2.46667	2.19333
6.78621	1.09251	8.54469	2.57	2.28
6.80602	1.33873	8.55987	2.67667	2.39
6.81423	2.6303	8.5681	3.00667	2.59
6.81153	2.93858	8.57812	4.07667	3.38667
