SCD	SGM	SJY	SSF	FCD	FGM	FJY	FSF
4.60936	-0.99425	-1.02974	-1.17118	-0.65784	-0.15309	-0.89098	-3.42526
4.63318	-0.92533	-1.01528	-1.10866	-0.6779	-0.13016	-0.93853	-3.38907
4.63337	-0.93803	-1.04412	-1.10866	-0.72586	-0.13524	-0.95919	-3.37727
4.61947	-0.97551	-1.09362	-1.07881	-0.75657	-0.13372	-0.94675	-3.37855
4.61403	-0.87948	-1.10172	-0.94161	-0.78494	-0.1552	-0.95477	-3.39697
4.60197	-0.85238	-1.07763	-0.91629	-0.81013	-0.17268	-0.94567	-3.4038
4.57502	-0.85637	-1.08649	-0.91629	-0.83207	-0.19618	-0.93615	-3.42338
4.58026	-0.97896	-1.10745	-1.02165	-0.85313	-0.22477	-0.9514	-3.44848
4.58894	-0.96417	-1.11566	-0.96758	-0.87806	-0.25083	-0.96808	-3.46777
4.62114	-0.9314	-1.09751	-0.94161	-0.902	-0.26955	-1.00111	-3.49279
4.63706	-0.94546	-1.09005	-0.91629	-0.91778	-0.27866	-1.02296	-3.49908
4.6323	-0.89062	-1.05584	-0.8916	-0.95236	-0.28871	-1.03136	-3.49498
4.59603	-0.85967	-1.07441	-0.8916	-0.99217	-0.2848	-1.05604	-3.49563
4.54998	-0.87084	-1.02054	-0.94161	-1.01364	-0.2947	-1.05139	-3.50949
4.54701	-0.84933	-0.98457	-0.8916	-1.05209	-0.3115	-1.05877	-3.52203
4.53432	-0.83609	-0.97631	-0.84397	-1.07964	-0.31982	-1.06365	-3.51753
4.51492	-0.74423	-0.87539	-0.69315	-1.07801	-0.31516	-1.04784	-3.50803
4.48097	-0.70461	-0.7994	-0.61619	-1.08816	-0.32573	-1.03409	-3.51891
4.48785	-0.73002	-0.71642	-0.61619	-1.12822	-0.36792	-1.06853	-3.57113
4.43699	-0.66204	-0.63733	-0.43078	-1.14057	-0.377	-1.07093	-3.5937
4.43462	-0.60331	-0.66573	-0.47804	-1.16253	-0.39087	-1.0747	-3.6335
4.45621	-0.62474	-0.73856	-0.52763	-1.17927	-0.39195	-1.0689	-3.65398
4.45004	-0.61415	-0.77479	-0.51083	-1.19448	-0.37324	-1.06093	-3.65179
4.45621	-0.5553	-0.80341	-0.43078	-1.22267	-0.3718	-1.06038	-3.6485
4.4498	-0.54905	-0.87419	-0.46204	-1.24017	-0.36061	-1.06027	-3.61085
4.4301	-0.66359	-0.91504	-0.59784	-1.26556	-0.34398	-1.05482	-3.53986
4.46453	-0.56423	-0.7774	-0.47804	-1.27723	-0.32574	-1.02667	-3.47946
4.4477	-0.59403	-0.75226	-0.4943	-1.31031	-0.31619	-1.00866	-3.44366
4.42724	-0.67236	-0.70806	-0.56212	-1.33319	-0.3321	-0.99529	-3.4346
4.43391	-0.74276	-0.74676	-0.65393	-1.34629	-0.34208	-0.9785	-3.42647
4.42245	-0.87156	-0.81441	-0.71335	-1.33282	-0.31029	-0.95046	-3.38384
4.41715	-0.84258	-0.84467	-0.67334	-1.36942	-0.30025	-0.95568	-3.3654
4.43462	-0.81306	-0.7879	-0.57982	-1.37704	-0.27282	-0.95113	-3.3224
4.3979	-0.88141	-0.90214	-0.65393	-1.36757	-0.24805	-0.92481	-3.28228
4.34821	-0.90017	-0.93217	-0.73397	-1.3875	-0.24876	-0.91653	-3.28472
4.39309	-0.92735	-0.99128	-0.77653	-1.38434	-0.24644	-0.9059	-3.30125
4.39864	-0.8656	-0.85449	-0.69315	-1.38156	-0.24305	-0.89121	-3.30766
4.39494	-0.88649	-0.87299	-0.73397	-1.36309	-0.24742	-0.8887	-3.32547
4.40036	-0.93293	-0.87419	-0.73397	-1.33828	-0.25293	-0.88837	-3.33207
4.3963	-0.97048	-0.8592	-0.75502	-1.3155	-0.26454	-0.87146	-3.3232
4.38652	-1.00212	-0.84234	-0.77653	-1.30025	-0.27069	-0.86579	-3.31281
4.36106	-0.95166	-0.80968	-0.77653	-1.28955	-0.26962	-0.86096	-3.31008
4.32797	-1.02388	-0.86488	-0.84397	-1.27639	-0.28219	-0.84838	-3.30788
4.32902	-1.10715	-0.89821	-0.91629	-1.27356	-0.26855	-0.84596	-3.3015
4.32652	-1.14665	-0.9208	-0.94161	-1.26357	-0.26395	-0.84617	-3.2935
4.29251	-1.12917	-0.92634	-0.96758	-1.25749	-0.26477	-0.84163	-3.27523
4.29865	-1.11871	-0.91205	-0.94161	-1.2563	-0.25238	-0.82706	-3.25128
4.28964	-0.98216	-0.77479	-0.77653	-1.24875	-0.24545	-0.8212	-3.23664
4.27054	-0.90066	-0.69555	-0.73397	-1.22487	-0.2394	-0.79545	-3.21462
4.27068	-0.84049	-0.58555	-0.65393	-1.22746	-0.23866	-0.79735	-3.20492
4.27819	-0.7879	-0.50071	-0.57982	-1.21004	-0.21985	-0.76912	-3.18489
4.27695	-0.7034	-0.42925	-0.4943	-1.19778	-0.21721	-0.75315	-3.16924
4.28276	-0.66301	-0.46442	-0.47804	-1.19475	-0.20421	-0.73291	-3.15057
4.33886	-0.59059	-0.37702	-0.41552	-1.16563	-0.19881	-0.71808	-3.1332
4.31909	-0.60422	-0.38522	-0.41552	-1.16058	-0.18831	-0.71294	-3.12522
4.33585	-0.60881	-0.38082	-0.43078	-1.15947	-0.18818	-0.70844	-3.12479
4.34303	-0.45839	-0.21109	-0.24846	-1.16869	-0.1982	-0.70412	-3.13891
4.39482	-0.50634	-0.2264	-0.31471	-1.16714	-0.20663	-0.706	-3.16943
4.41231	-0.59947	-0.28064	-0.41552	-1.1744	-0.23045	-0.71808	-3.20343
4.40867	-0.63111	-0.29679	-0.46204	-1.19055	-0.23032	-0.70642	-3.21753
4.42891	-0.57679	-0.22992	-0.41552	-1.21188	-0.24755	-0.72494	-3.22953
4.42855	-0.63809	-0.278	-0.51083	-1.23146	-0.2648	-0.73406	-3.21077
4.42425	-0.66904	-0.36528	-0.51083	-1.26237	-0.27201	-0.75085	-3.18435
4.44112	-0.62511	-0.33142	-0.47804	-1.29334	-0.291	-0.74276	-3.16673
4.45864	-0.52933	-0.36083	-0.43078	-1.32103	-0.28784	-0.72272	-3.14286
4.44805	-0.52729	-0.4524	-0.40048	-1.34869	-0.27803	-0.72562	-3.12034
4.45155	-0.51366	-0.42465	-0.34249	-1.3712	-0.28709	-0.70164	-3.09457
4.4598	-0.44738	-0.32062	-0.26136	-1.38447	-0.29883	-0.6823	-3.06052
4.45656	-0.40152	-0.29571	-0.26136	-1.39398	-0.31955	-0.66422	-3.03466
4.45783	-0.5406	-0.34362	-0.38566	-1.4114	-0.26347	-0.64213	-3.02967
4.47244	-0.59439	-0.32131	-0.44629	-1.41816	-0.29483	-0.64288	-3.03248
4.48153	-0.50866	-0.28409	-0.37106	-1.4148	-0.30984	-0.64313	-3.02461
4.46061	-0.41612	-0.22477	-0.30111	-1.40643	-0.30203	-0.64123	-3.00429
4.43129	-0.49627	-0.28662	-0.40048	-1.40201	-0.28001	-0.63858	-2.98868
4.42545	-0.42327	-0.22715	-0.31471	-1.38808	-0.27862	-0.62865	-2.96629
4.38365	-0.34305	-0.17566	-0.21072	-1.3767	-0.27488	-0.61644	-2.94751
4.36526	-0.47868	-0.22115	-0.37106	-1.36375	-0.27992	-0.59642	-2.93311
4.37626	-0.47884	-0.1514	-0.40048	-1.34253	-0.28843	-0.56971	-2.91917
4.35658	-0.52374	-0.06529	-0.41552	-1.32238	-0.28665	-0.55139	-2.91746
4.31562	-0.4824	-0.05024	-0.34249	-1.30103	-0.27718	-0.53276	-2.92132
4.32453	-0.54593	-0.11194	-0.38566	-1.29177	-0.28471	-0.53027	-2.93234
4.28041	-0.514	-0.03097	-0.34249	-1.27341	-0.2835	-0.52711	-2.94015
4.28138	-0.46713	0.00955	-0.30111	-1.26228	-0.29874	-0.52683	-2.94907
4.31187	-0.43711	0.01558	-0.24846	-1.25492	-0.30688	-0.5289	-2.94678
4.26676	-0.43742	0.0026	-0.27444	-1.26127	-0.31622	-0.54697	-2.95215
4.26942	-0.32476	0.11261	-0.12783	-1.26824	-0.32146	-0.56288	-2.9527
4.28785	-0.32476	0.16721	-0.13926	-1.28269	-0.32193	-0.56436	-2.96045
4.30973	-0.34984	0.01715	-0.13926	-1.30129	-0.34138	-0.59014	-2.98448
4.29388	-0.36011	-0.02789	-0.13926	-1.31916	-0.3633	-0.62404	-3.01475
4.29538	-0.3892	-0.06092	-0.17435	-1.34263	-0.39624	-0.64547	-3.05536
4.29402	-0.41992	-0.09003	-0.22314	-1.37594	-0.42813	-0.70195	-3.10615
4.29606	-0.42312	-0.10414	-0.22314	-1.38885	-0.46041	-0.74547	-3.14799
4.2906	-0.4413	-0.14838	-0.30111	-1.41923	-0.50744	-0.78155	-3.19885
4.28	-0.51751	-0.21555	-0.37106	-1.44335	-0.54949	-0.80577	-3.24534
4.28235	-0.55617	-0.13456	-0.37106	-1.46334	-0.58267	-0.8741	-3.29229
4.28166	-0.56845	-0.19068	-0.37106	-1.48204	-0.61206	-0.89999	-3.33372
4.24807	-0.5834	-0.26201	-0.37106	-1.50013	-0.63363	-0.93608	-3.36254
