LNL	LNLS	LNK	LNKS	LNPL	LNPLS	LNPK	LNPKS
5.06483	4.98795	3.29613	3.66839	-0.8052	-0.89943	-0.60881	0.18731
5.11292	4.99975	3.33395	3.74871	-0.7529	-0.89111	-0.4943	0.34812
5.04243	4.90317	3.36599	3.71382	-0.72774	-0.89845	-0.45413	0.3389
5.09521	4.9798	3.39699	3.7651	-0.69115	-0.83034	-0.52425	0.21962
5.11925	4.96842	3.42237	3.7459	-0.63866	-0.82143	-0.42771	0.1907
5.11411	4.92899	3.46848	3.79779	-0.5924	-0.81554	-0.49594	0.17546
5.04342	4.86429	3.50924	3.82988	-0.56387	-0.77696	-0.41552	0.32973
5.1046	4.88271	3.51337	3.87034	-0.52425	-0.78307	-0.26527	0.46134
5.11414	4.88094	3.51184	3.95973	-0.49594	-0.76766	-0.40347	0.53421
5.09907	4.85189	3.52256	3.96275	-0.47804	-0.76443	-0.37106	0.55796
5.15344	4.88817	3.52968	4.02254	-0.45413	-0.75801	-0.35954	0.61047
5.16023	4.87255	3.54487	4.06008	-0.42007	-0.74297	-0.40048	0.58868
5.18953	4.89382	3.56793	4.09973	-0.38566	-0.71703	-0.37106	0.6181
5.23897	4.93515	3.6071	4.17014	-0.36097	-0.69375	-0.25489	0.72003
5.31044	4.96936	3.67082	4.22815	-0.32435	-0.69977	-0.24718	0.69868
5.32615	4.96374	3.75096	4.26498	-0.29303	-0.68756	-0.29437	0.60377
5.3451	4.95502	3.82013	4.30932	-0.22439	-0.63847	-0.17674	0.66957
5.36378	4.95431	3.86138	4.3518	-0.16252	-0.59493	-0.29706	0.55135
5.31271	4.87576	3.90197	4.28723	-0.10093	-0.56142	-0.31334	0.39272
5.28399	4.87452	3.92849	4.28826	-0.04919	-0.47691	-0.24974	0.42167
5.32851	4.94284	3.93681	4.36339	0	-0.40048	0	0.74811
5.39278	5.06288	3.95923	4.42108	0.05921	-0.29035	0.07046	0.8562
5.3773	5.2077	3.99028	4.21422	0.15444	-0.05382	0.1415	0.59576
5.28779	5.13347	4.03654	4.17194	0.25542	0.06185	0.05259	0.40112
5.33307	5.17173	4.05874	4.29775	0.33933	0.13968	0.31991	0.94744
5.37202	5.21887	4.08465	4.34084	0.42199	0.23206	0.31335	0.96828
5.41572	5.24966	4.12479	4.37165	0.50199	0.29617	0.3839	0.98328
5.43942	5.32063	4.169	4.35216	0.59167	0.43386	0.43954	0.94215
5.40045	5.346	4.23316	4.2441	0.69564	0.61551	0.60486	0.64982
5.39587	5.3685	4.30132	4.25213	0.78846	0.74659	0.50259	0.32945
