R1	R2	R3	R6	R12	R24	R36	R60	R120
11.728	12.153	12.488	12.729	12.438	11.585	11.229	10.775	10.311
11.23	11.69	11.775	12.027	11.331	10.795	10.341	10.207	10.112
10.274	11.882	12.285	12.298	11.413	10.862	10.389	10.03	10.024
11.871	12.283	12.364	12.425	11.729	11.315	10.903	10.724	10.903
13.919	14.255	14.324	14.731	14.904	14.458	13.65	12.907	12.283
15.071	15.445	15.241	15.924	15.281	14.146	13.246	12.383	12.018
10.389	10.524	10.676	11.041	10.964	10.5	10.383	10.44	10.709
7.847	7.764	7.911	8.363	8.686	9.023	9.139	9.704	10.209
6.665	7.943	8.156	8.198	8.426	8.953	9.092	9.419	10.025
7.835	8.571	8.802	8.934	9.135	9.65	9.765	10.11	10.698
9.2	9.857	10.255	10.713	11.142	11.26	11.265	11.477	11.201
11.204	11.422	11.625	11.947	11.893	11.837	11.675	11.585	11.552
11.657	12.577	12.995	13.266	13.106	12.69	12.563	12.358	11.986
14.394	14.802	14.856	14.833	14.448	13.64	13.162	12.661	12.056
12.901	14.2	14.758	14.404	13.201	12.516	12.273	12.105	11.944
14.717	15.057	15.025	14.542	13.655	12.8	12.486	12.36	12.192
14.197	14.564	14.698	14.556	13.997	13.519	13.462	13.288	12.913
13.034	12.941	12.823	12.652	12.862	12.807	12.925	13.007	12.685
14.114	14.989	15.204	14.958	14.673	14.304	14.124	13.903	13.499
16.21	16.01	15.673	14.952	14.686	14.153	13.821	13.314	12.887
14.413	14.61	14.649	14.659	14.42	14.188	13.926	13.736	13.292
14.98	15.27	15.406	15.801	15.748	15.328	15.036	14.662	13.888
15.639	15.841	15.999	16.511	16.345	16.145	15.596	15.461	14.606
13.679	14.377	14.759	15.653	15.911	16.107	15.825	15.696	15.065
12.972	13.088	13.125	13.689	14.099	14.158	14.252	14.356	14.211
10.237	10.371	10.568	11.055	11.564	12.235	12.526	12.723	12.947
9.71	10.793	11.509	12.552	13.327	13.507	13.582	13.766	13.669
12.141	12.513	12.843	13.408	13.805	13.845	13.915	13.905	13.802
11.98	12.269	12.717	13.555	13.751	13.884	13.825	13.706	13.581
13.963	13.665	13.663	13.865	13.946	14.112	14.062	13.936	13.635
12.316	12.458	12.711	13.156	13.459	13.637	13.609	13.458	13.306
11.616	11.715	11.855	12.245	12.867	13.227	13.373	13.491	13.302
11.742	12.566	13.116	13.813	14.211	14.32	14.428	14.265	13.842
9.147	9.82	10.497	11.771	12.646	12.934	13.314	13.352	13.277
7.513	7.78	8.331	9.836	11.168	11.891	12.257	12.473	12.439
6.937	7.237	7.774	9.225	10.369	11.212	11.563	11.65	11.741
7.722	7.83	8.112	8.735	9.454	10.008	10.519	10.748	10.869
7.873	8.114	8.391	8.87	9.321	9.842	10.33	10.71	10.97
8.071	8.111	8.174	8.335	8.786	9.447	9.921	10.329	10.585
8.066	8.151	8.263	8.516	8.956	9.595	10.087	10.552	11.037
7.909	7.964	8.063	8.242	8.608	9.204	9.698	9.859	10.363
8.558	8.724	8.856	9.023	9.246	9.726	10.011	10.314	10.639
8.099	8.187	8.278	8.408	8.72	9.233	9.628	9.971	10.321
8.559	8.711	8.833	9.048	9.318	9.892	10.182	10.517	10.862
8.568	8.813	8.981	9.236	9.583	10.134	10.397	10.692	11.003
8.955	9.222	9.434	9.808	10.346	10.981	11.158	11.53	11.779
9.008	9.249	9.464	9.911	10.363	11.011	11.347	11.695	11.789
8.775	8.826	8.923	9.243	9.698	10.36	10.656	11.129	11.376
8.491	8.578	8.716	9.122	9.621	10.378	10.828	11.291	11.642
8.576	8.875	9.068	9.373	9.71	10.442	10.765	11.261	11.466
8.633	8.973	9.197	9.501	9.894	10.627	10.93	11.429	11.658
8.94	9.017	9.097	9.319	9.634	10.388	10.694	11.204	11.532
8.863	9.17	9.373	9.683	9.985	10.775	11.045	11.609	11.855
9.504	9.755	9.966	10.266	10.611	11.295	11.58	12.066	12.307
9.488	9.727	9.962	10.339	10.811	11.559	11.892	12.34	12.599
9.558	9.689	10.039	11.009	11.927	12.694	13.293	13.436	13.624
9.386	9.835	10.18	10.978	11.988	12.853	13.087	13.4	13.508
10.029	10.327	10.567	11.029	11.631	12.287	12.34	12.519	12.647
10.743	10.756	10.821	11.126	11.669	12.206	12.284	12.495	12.473
10.442	10.436	10.503	10.764	11.165	11.774	11.958	12.213	12.151
8.57	8.963	9.248	9.648	10.15	10.892	11.134	11.394	11.554
8	8.384	8.623	8.988	9.531	10.312	10.695	11.226	11.428
7.229	7.84	8.126	8.367	9.132	9.932	10.438	11.111	11.459
7.725	8.028	8.195	8.437	8.982	9.763	10.218	10.779	11.119
7.671	8.318	8.706	9.134	9.65	10.457	10.934	11.502	11.859
8.037	8.317	8.513	8.868	9.417	10.295	10.684	11.283	11.588
7.516	7.762	7.98	8.387	8.945	9.787	10.281	10.901	11.404
6.996	7.205	7.322	7.478	8.011	8.836	9.314	9.864	10.331
6.719	6.896	7.03	7.252	7.747	8.642	9.164	9.849	10.286
7.056	7.247	7.397	7.662	8.092	8.975	9.51	10.173	10.653
7.243	7.216	7.269	7.548	7.934	8.801	9.327	9.798	10.333
7.242	7.212	7.271	7.546	7.976	8.795	9.332	9.859	10.376
